id@name@position@isCurrent@factions
99111772@Абалаков Александр Николаевич@Депутат ГД@False@'{"id": "72100004","name": "Фракция Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ","startDate": "2011-12-04","endDate": "2016-10-04"}]'
99112284@Абасов Мамед Магарамович@Депутат ГД@False@"[{'id': '72100024', 'name': 'Фракция Всероссийской политической партии ""ЕДИНАЯ РОССИЯ""', 'startDate': '2013-03-06', 'endDate': '2016-10-04'}]"
